DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Mother_DV,Mother_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Good enough. Lets go!,pilotn6,pilot/POAllyMother/pilotn6.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Powering Up!,pilotn7,pilot/POAllyMother/pilotn7.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Mother here.,pilotn37,pilot/POAllyMother/pilotn37.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Mother.,pilotn38,pilot/POAllyMother/pilotn38.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Born to kill!,pilotn33,pilot/POAllyMother/pilotn33.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.CharacterDialogue.Mission.Intro,*Laughing*,pilotn31,pilot/POAllyMother/pilotn31.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Born to kill!,pilotn33,pilot/POAllyMother/pilotn33.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Get some!,pilotn32,pilot/POAllyMother/pilotn32.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Mother here.,pilotn37,pilot/POAllyMother/pilotn37.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Mother.,pilotn38,pilot/POAllyMother/pilotn38.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative,Confirmed.,pilotn0,pilot/POAllyMother/pilotn0.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative,Copy that.,pilotn1,pilot/POAllyMother/pilotn1.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative,Sure thing chief!,pilotn2,pilot/POAllyMother/pilotn2.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative,You want fries with that?,pilotn3,pilot/POAllyMother/pilotn3.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Attack,Confirmed.,pilotn0,pilot/POAllyMother/pilotn0.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Attack,Copy that.,pilotn1,pilot/POAllyMother/pilotn1.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Attack,Sure thing chief!,pilotn2,pilot/POAllyMother/pilotn2.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Attack,You want fries with that?,pilotn3,pilot/POAllyMother/pilotn3.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Attack,Copy target!,pilotn35,pilot/POAllyMother/pilotn35.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Attack,Target confirmed!,pilotn36,pilot/POAllyMother/pilotn36.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Confirmed.,pilotn0,pilot/POAllyMother/pilotn0.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Copy that.,pilotn1,pilot/POAllyMother/pilotn1.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Sure thing chief!,pilotn2,pilot/POAllyMother/pilotn2.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Attack.Lance,You want fries with that?,pilotn3,pilot/POAllyMother/pilotn3.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Copy target!,pilotn35,pilot/POAllyMother/pilotn35.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Target confirmed!,pilotn36,pilot/POAllyMother/pilotn36.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Follow,Confirmed.,pilotn0,pilot/POAllyMother/pilotn0.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Follow,Copy that.,pilotn1,pilot/POAllyMother/pilotn1.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Follow,Sure thing chief!,pilotn2,pilot/POAllyMother/pilotn2.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Follow,You want fries with that?,pilotn3,pilot/POAllyMother/pilotn3.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Confirmed.,pilotn0,pilot/POAllyMother/pilotn0.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Copy that.,pilotn1,pilot/POAllyMother/pilotn1.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Sure thing chief!,pilotn2,pilot/POAllyMother/pilotn2.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Follow.Lance,You want fries with that?,pilotn3,pilot/POAllyMother/pilotn3.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Confirmed.,pilotn0,pilot/POAllyMother/pilotn0.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Copy that.,pilotn1,pilot/POAllyMother/pilotn1.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Sure thing chief!,pilotn2,pilot/POAllyMother/pilotn2.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Hold_Fire,You want fries with that?,pilotn3,pilot/POAllyMother/pilotn3.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Confirmed.,pilotn0,pilot/POAllyMother/pilotn0.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Copy that.,pilotn1,pilot/POAllyMother/pilotn1.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Sure thing chief!,pilotn2,pilot/POAllyMother/pilotn2.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,You want fries with that?,pilotn3,pilot/POAllyMother/pilotn3.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Move,Confirmed.,pilotn0,pilot/POAllyMother/pilotn0.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Move,Copy that.,pilotn1,pilot/POAllyMother/pilotn1.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Move,Sure thing chief!,pilotn2,pilot/POAllyMother/pilotn2.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Move,You want fries with that?,pilotn3,pilot/POAllyMother/pilotn3.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Move.Lance,Confirmed.,pilotn0,pilot/POAllyMother/pilotn0.wav,,,,,,,,
Mother_DV,Mother_Persona,DialogueContext.Command.Affirmative.Move.Lance,Copy that.,pilotn1,pilot/POAllyMother/pilotn1.wav,,,,,,,,
